Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_24_854.jpg;0;1;0;2.617399;47.96918;95.06515;1.340075;354.0308;-0.0009169902
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_24_894.jpg;0;1;0;2.646256;48.07541;95.05359;1.347126;354.0206;-0.00135542
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_24_973.jpg;0;1;0;2.701638;48.29101;95.03009;1.348373;354.0036;-0.001378693
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_25_018.jpg;0;1;0;2.730646;48.40047;95.01813;1.347413;353.9951;-0.001384884
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_25_094.jpg;0;1;0;2.787336;48.62292;94.99377;1.355949;353.9776;-0.001404104
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_25_174.jpg;0;1;0;2.842585;48.84977;94.96887;1.362672;353.9608;-0.001456309
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_25_254.jpg;0;1;0;2.898395;49.08094;94.94342;1.363467;353.9451;-0.001465491
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_25_296.jpg;0;1;0;2.926201;49.19815;94.93049;1.362034;353.9371;-0.001450651
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_25_373.jpg;0;1;0;2.982037;49.43599;94.90418;1.36705;353.9193;-0.001453109
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_25_413.jpg;0;1;0;3.008884;49.55653;94.89084;1.368636;353.9101;-0.001474835
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_25_497.jpg;0;1;0;3.063909;49.80093;94.86369;1.374595;353.8922;-0.001390824
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_25_577.jpg;-1.780459;1;0;3.118412;50.04955;94.83553;1.377384;353.787;-0.001114016
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_25_618.jpg;-3.567532;1;0;3.145623;50.17531;94.82021;1.377275;353.5513;-0.0003457181
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_25_697.jpg;-7.166748;1;0;3.19854;50.42936;94.78543;1.37062;352.5685;0.001718124
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_25_772.jpg;-10.6676;1;0;3.249402;50.68547;94.74192;1.327172;350.8532;359.9228
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_25_853.jpg;-7.157843;1;0;3.300627;50.94301;94.69178;1.195589;349.0484;359.8349
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_25_933.jpg;-3.506104;1;0;3.355336;51.20378;94.63668;1.055307;347.8577;359.7367
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_26_012.jpg;0;1;0;3.408701;51.46902;94.57944;0.9458919;347.3856;359.6755
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_26_092.jpg;0;1;0;3.461014;51.73944;94.52061;0.9064565;347.325;359.6417
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_26_174.jpg;-3.592288;1;0;3.512019;52.01377;94.45847;0.8944002;347.0216;359.6245
C:\Users\OZKANB\RoboND-Python-StarterKit\Udacity_Robotics_Project1\IMG\robocam_2017_09_05_15_03_26_253.jpg;-7.273014;1;0;3.562305;52.29045;94.38945;0.8812918;346.0402;359.5649
